<INFO> financialDB_operations_logger [2022-02-04 15:59:17,750]: Net Cash Flow from Financing data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,862]: Net Cash Flow from Investing data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,961]: Net Cash Flow from Operations data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,071]: Current Assets data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,170]: Current Liabilities data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,278]: Fixed Assets data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,380]: Intangible Assets data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,490]: Shareholders Equity data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,600]: Stock Inventory data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,721]: Total Assets data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,820]: Total Debt data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:18,918]: Total Liabilities data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:19,016]: Amortization data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:19,116]: Cost of Goods Sold data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:19,260]: Depreciation data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:19,904]: Interest Expense data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:20,512]: Net Income data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:20,623]: Operating Expense data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:20,731]: Operating Profit data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:20,841]: Revenue data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:20,950]: Total Expenses data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,029]: Gross Dividend Payout per Share data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,149]: Outstanding Shares data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,270]: Share Unit Price data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,346]: Trade Debtors data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,486]: Trade Creditors data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,633]: Sales data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,764]: Cash and Cash Equivalent data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,864]: Free Cash Flow data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:21,985]: Net Cash Flow from Financing data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,117]: Net Cash Flow from Investing data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,259]: Net Cash Flow from Operations data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,371]: Current Assets data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,491]: Current Liabilities data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,613]: Fixed Assets data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,755]: Intangible Assets data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:22,876]: Shareholders Equity data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,008]: Stock Inventory data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,140]: Total Assets data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,262]: Total Debt data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,370]: Total Liabilities data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,493]: Amortization data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,591]: Cost of Goods Sold data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,724]: Depreciation data for 2019 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:23,854]: Interest Expense data for 2019 not found, inserting data as new entry
